Sample,clade
IE01,21J (Delta)
IE02,21J (Delta)
IE03,21J (Delta)
IE04,21J (Delta)
IE05,21J (Delta)
IE06,21J (Delta)
IE07,21A (Delta)
IE08,21A (Delta)
IE09,21J (Delta)
IE10,21J (Delta)
IE11,21A (Delta)
IE12,21J (Delta)
IE13,21A (Delta)
IE14,21A (Delta)
IE15,21J (Delta)
IE16,21J (Delta)
IE17,21K (Omicron)
IE18,21K (Omicron)
IE19,21K (Omicron)
IE20,21K (Omicron)
IE21,21K (Omicron)
IE22,21K (Omicron)
IE23,21K (Omicron)
IE24,21K (Omicron)
IE25,21J (Delta)
IE26,21K (Omicron)
IE27,21K (Omicron)
IE28,21K (Omicron)
IE29,21A (Delta)
IE30,21K (Omicron)
IE31,21K (Omicron)
IE32,21K (Omicron)
IE33,21J (Delta)
IE34,21J (Delta)
IE35,21J (Delta)
IE36,21J (Delta)
IE37,21J (Delta)
IE38,21J (Delta)
IE39,21J (Delta)
IE40,21A (Delta)
IE41,21J (Delta)
IE42,21J (Delta)
IE43,21J (Delta)
IE44,21J (Delta)
IE45,21J (Delta)
IE46,21J (Delta)
IE47,21J (Delta)
IE48,21J (Delta)
