Sample,clade
ZA01,21K (Omicron)
ZA02,21K (Omicron)
ZA03,21K (Omicron)
ZA04,21K (Omicron)
ZA05,21K (Omicron)
ZA06,21K (Omicron)
ZA07,21K (Omicron)
ZA08,21K (Omicron)
ZA09,NA
ZA10,20C
ZA11,21K (Omicron)
ZA12,NA
ZA13,21K (Omicron)
ZA14,21K (Omicron)
ZA15,21K (Omicron)
ZA16,21K (Omicron)
ZA17,21K (Omicron)
ZA18,21K (Omicron)
ZA19,21K (Omicron)
ZA20,21K (Omicron)
ZA21,21K (Omicron)
ZA22,21K (Omicron)
ZA23,21K (Omicron)
ZA24,21K (Omicron)
ZA25,NA
ZA26,21K (Omicron)
ZA27,21K (Omicron)
ZA28,21K (Omicron)
ZA29,21K (Omicron)
ZA30,21M (Omicron)
ZA31,21K (Omicron)
ZA32,21K (Omicron)
ZA33,21K (Omicron)
ZA34,21L (Omicron)
ZA35,21K (Omicron)
ZA36,21K (Omicron)
ZA37,21K (Omicron)
ZA38,21K (Omicron)
ZA39,21L (Omicron)
ZA40,21K (Omicron)
ZA41,21L (Omicron)
ZA42,21L (Omicron)
ZA43,21M (Omicron)
ZA44,21K (Omicron)
ZA45,21K (Omicron)
ZA46,21K (Omicron)
ZA47,21K (Omicron)
ZA48,21K (Omicron)
