Sample,clade
GB01,20I (Alpha; V1)
GB02,20I (Alpha; V1)
GB03,20I (Alpha; V1)
GB04,20I (Alpha; V1)
GB05,20I (Alpha; V1)
GB06,20I (Alpha; V1)
GB07,20I (Alpha; V1)
GB08,20I (Alpha; V1)
GB09,20I (Alpha; V1)
GB10,20I (Alpha; V1)
GB11,20I (Alpha; V1)
GB12,20I (Alpha; V1)
GB13,20I (Alpha; V1)
GB14,20I (Alpha; V1)
GB15,20I (Alpha; V1)
GB16,20I (Alpha; V1)
GB17,20I (Alpha; V1)
GB18,20I (Alpha; V1)
GB19,20I (Alpha; V1)
GB20,21J (Delta)
GB21,20I (Alpha; V1)
GB22,20I (Alpha; V1)
GB23,20I (Alpha; V1)
GB24,20I (Alpha; V1)
GB25,21A (Delta)
GB26,21I (Delta)
GB27,20I (Alpha; V1)
GB28,20I (Alpha; V1)
GB29,20I (Alpha; V1)
GB30,20I (Alpha; V1)
GB31,20I (Alpha; V1)
GB32,20I (Alpha; V1)
GB33,21J (Delta)
GB34,21J (Delta)
GB35,20I (Alpha; V1)
GB36,21J (Delta)
GB37,21J (Delta)
GB38,21J (Delta)
GB39,21J (Delta)
GB40,21J (Delta)
GB41,21J (Delta)
GB42,21J (Delta)
GB43,20I (Alpha; V1)
GB44,21J (Delta)
GB45,21J (Delta)
GB46,21J (Delta)
GB47,21J (Delta)
GB48,21J (Delta)
